travelcode,usercode,name,place,days,price,total,date
0.0,0.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2019-09-26
2.0,0.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2019-10-10
7.0,0.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2019-11-14
11.0,0.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2019-12-12
13.0,0.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2019-12-26
15.0,0.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-01-09
22.0,0.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-02-27
29.0,0.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-04-16
32.0,0.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-05-07
33.0,0.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-05-14
34.0,0.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-05-21
38.0,0.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-06-18
39.0,0.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-06-25
42.0,0.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-07-16
43.0,0.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-07-23
45.0,0.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-08-06
51.0,0.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-09-17
53.0,0.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-10-01
54.0,0.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-10-08
55.0,0.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-10-15
57.0,0.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-10-29
60.0,0.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-11-19
65.0,0.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-12-24
73.0,0.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2021-02-18
81.0,0.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-04-15
86.0,0.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-05-20
87.0,0.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2021-05-27
90.0,1.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2019-10-03
92.0,1.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2019-10-17
100.0,2.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2019-10-31
101.0,2.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2019-11-07
105.0,2.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2019-12-05
108.0,2.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2019-12-26
