travelcode,usercode,name,place,days,price,total,date,price_per_day
0.0,0.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2019-09-26,250.416
2.0,0.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2019-10-10,175.60666666666668
7.0,0.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2019-11-14,197.5575
11.0,0.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2019-12-12,210.728
13.0,0.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2019-12-26,156.51
15.0,0.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-01-09,161.92
22.0,0.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-02-27,138.69333333333333
29.0,0.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-04-16,250.26399999999998
32.0,0.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-05-07,92.73333333333333
33.0,0.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-05-14,210.728
34.0,0.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-05-21,104.325
38.0,0.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-06-18,161.92
39.0,0.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-06-25,131.705
42.0,0.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-07-16,45.2925
43.0,0.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-07-23,210.728
45.0,0.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-08-06,121.44
51.0,0.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-09-17,131.705
53.0,0.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-10-01,40.26
54.0,0.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-10-08,104.325
55.0,0.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-10-15,208.67999999999998
57.0,0.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-10-29,166.432
60.0,0.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-11-19,166.432
65.0,0.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-12-24,82.995
73.0,0.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2021-02-18,198.096
81.0,0.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-04-15,194.304
86.0,0.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-05-20,104.325
87.0,0.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2021-05-27,156.415
90.0,1.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2019-10-03,69.55
92.0,1.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2019-10-17,123.81
100.0,2.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2019-10-31,132.792
101.0,2.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2019-11-07,45.2925
105.0,2.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2019-12-05,166.432
108.0,2.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2019-12-26,234.6225
109.0,2.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-01-02,40.26
110.0,2.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-01-09,131.705
112.0,2.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-01-23,111.28
116.0,2.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-02-20,48.312
117.0,2.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-02-27,208.5533333333333
119.0,2.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-03-12,175.60666666666668
122.0,2.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-04-02,250.416
124.0,2.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2020-04-16,156.03
125.0,2.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-04-23,40.26
135.0,2.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-07-02,82.995
137.0,2.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-07-16,234.765
150.0,2.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-10-15,138.69333333333333
153.0,2.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-11-05,48.312
156.0,2.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-11-26,165.08
160.0,2.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-12-24,40.26
